Iteration Mean StdDeviation
374 5.53765 0.18847
375 5.58534 0.308464
376 5.45537 3.26468e-07
377 5.45537 3.26468e-07
378 5.45537 3.26468e-07
379 5.45537 3.26468e-07
380 5.45537 3.26468e-07
381 5.49556 0.0975661
382 5.50907 0.147932
383 5.45537 3.26468e-07
384 5.45537 3.26468e-07
385 5.45537 3.26468e-07
386 5.45537 3.26468e-07
387 5.47419 0.0751756
388 5.45859 0.0225484
389 5.46567 0.0521276
390 5.45537 3.26468e-07
391 5.45537 3.26468e-07
392 5.45537 3.26468e-07
393 5.49475 0.13887
394 5.50112 0.124094
395 5.51215 0.179842
396 5.51145 0.172879
397 5.56612 0.259724
398 5.54363 0.22955
399 5.45537 3.26468e-07
400 5.45537 3.26468e-07
401 5.46461 0.05077
402 5.50875 0.168415
403 5.45537 3.26468e-07
404 5.45537 3.26468e-07
405 5.45537 3.26468e-07
406 5.47899 0.0937879
407 5.45537 3.26468e-07
408 5.45537 3.26468e-07
409 5.47461 0.0828967
410 5.45537 3.26468e-07
411 5.45537 3.26468e-07
412 5.53644 0.262997
413 5.47949 0.0979115
414 5.45537 3.26468e-07
415 5.46291 0.0527916
416 5.45537 3.26468e-07
417 5.45537 3.26468e-07
418 5.50147 0.152367
419 5.53098 0.202456
420 5.45537 3.26468e-07
421 5.45537 3.26468e-07
422 5.45537 3.26468e-07
423 5.45537 3.26468e-07
424 5.4582 0.0198494
425 5.47771 0.0773466
426 5.45537 3.26468e-07
427 5.45537 3.26468e-07
428 5.45537 3.26468e-07
429 5.45537 3.26468e-07
430 5.53131 0.200789
431 5.45537 3.26468e-07
432 5.45537 3.26468e-07
433 5.45537 3.26468e-07
434 5.48456 0.122768
435 5.45537 3.26468e-07
436 5.45537 3.26468e-07
437 5.5212 0.202853
438 5.45537 3.26468e-07
439 5.45537 3.26468e-07
440 5.47676 0.084832
441 5.46161 0.0437039
442 5.48198 0.111431
443 5.49096 0.117439
444 5.50187 0.139779
445 5.45754 0.015221
446 5.47104 0.064561
447 5.45537 3.26468e-07
448 5.47061 0.0668829
449 5.50059 0.133559
450 5.45537 3.26468e-07
451 5.51919 0.153927
452 5.49087 0.11349
453 5.46784 0.0534899
454 5.47307 0.0605705
455 5.5076 0.153894
456 5.52076 0.174036
457 5.45537 3.26468e-07
458 5.46147 0.0311548
459 5.53577 0.257366
460 5.45537 3.26468e-07
461 5.45537 3.26468e-07
462 5.45537 3.26468e-07
463 5.46445 0.0635921
464 5.45537 3.26468e-07
465 5.46024 0.0226793
466 5.58964 0.28781
467 5.45537 3.26468e-07
468 5.45853 0.0221568
469 5.57111 0.268736
470 5.51487 0.153185
471 5.46314 0.031034
472 5.46069 0.026057
473 5.45537 3.26468e-07
474 5.46386 0.0429712
475 5.47954 0.0738331
476 5.45537 3.26468e-07
477 5.45537 3.26468e-07
478 5.58446 0.304812
479 5.49045 0.122787
480 5.48238 0.113946
481 5.4813 0.0813847
482 5.49624 0.106846
483 5.57478 0.245707
484 5.55091 0.2157
485 5.50672 0.173071
486 5.45537 3.26468e-07
487 5.47402 0.0773466
488 5.46913 0.0479443
489 5.45537 3.26468e-07
490 5.45537 3.26468e-07
491 5.48141 0.0929605
492 5.52971 0.20818
493 5.45537 3.26468e-07
494 5.47217 0.0658226
495 5.51825 0.174491
496 5.50906 0.170803
497 5.55567 0.229619
498 5.46316 0.0545792
499 5.45537 3.26468e-07
500 5.5752 0.249549
501 5.45537 3.26468e-07
502 5.45537 3.26468e-07
503 5.48222 0.0853415
504 5.45537 3.26468e-07
505 5.45537 3.26468e-07
506 5.45537 3.26468e-07
507 5.46428 0.0444419
508 5.46049 0.0358798
509 5.4578 0.0170304
510 5.45537 3.26468e-07
511 5.45924 0.0271389
512 5.45537 3.26468e-07
513 5.53156 0.193453
514 5.45537 3.26468e-07
515 5.45854 0.0221916
516 5.45537 3.26468e-07
517 5.45537 3.26468e-07
518 5.45537 3.26468e-07
519 5.45537 3.26468e-07
520 5.45537 3.26468e-07
521 5.47581 0.0893777
522 5.60476 0.276325
523 5.55138 0.207022
524 5.49688 0.125631
525 5.50179 0.132205
526 5.45853 0.0221568
527 5.45537 3.26468e-07
528 5.45537 3.26468e-07
529 5.45537 3.26468e-07
530 5.49442 0.125641
531 5.48339 0.100468
532 5.49065 0.11715
533 5.47738 0.0778857
534 5.45537 3.26468e-07
535 5.45537 3.26468e-07
536 5.45537 3.26468e-07
537 5.45537 3.26468e-07
538 5.45537 3.26468e-07
539 5.69494 0.423131
540 5.45537 3.26468e-07
541 5.47125 0.064492
542 5.57327 0.264486
543 5.45918 0.0266838
544 5.45537 3.26468e-07
545 5.45537 3.26468e-07
546 5.46184 0.0327223
547 5.47919 0.0834578
548 5.5047 0.134791
549 5.476 0.0707542
550 5.45537 3.26468e-07
551 5.46371 0.0346838
552 5.45954 0.0292144
553 5.45537 3.26468e-07
554 5.4659 0.0664757
555 5.47653 0.0852202
556 5.45537 3.26468e-07
557 5.45537 3.26468e-07
558 5.45537 3.26468e-07
559 5.4561 0.00404907
560 5.47381 0.0687072
561 5.50297 0.163186
562 5.45537 3.26468e-07
563 5.48861 0.124435
564 5.50949 0.140412
565 5.45537 3.26468e-07
566 5.47422 0.0750935
567 5.67021 0.323841
568 5.46622 0.0519717
569 5.49437 0.133126
570 5.45537 3.26468e-07
571 5.46528 0.040449
572 5.54015 0.230634
573 5.45537 3.26468e-07
574 5.51002 0.136975
575 5.50265 0.132123
576 5.63032 0.303858
577 5.45832 0.0206695
578 5.45537 3.26468e-07
579 5.51075 0.164063
580 5.51355 0.185075
581 5.4572 0.0128095
582 5.51201 0.184843
583 5.54096 0.243411
584 5.61931 0.357868
585 5.47983 0.0871906
586 5.48683 0.0977176
587 5.45907 0.0258846
588 5.46503 0.0676184
589 5.47375 0.0804012
590 5.49182 0.102822
591 5.52502 0.203965
592 5.45537 3.26468e-07
593 5.45537 3.26468e-07
594 5.5437 0.21011
595 5.45924 0.0271389
596 5.46508 0.0476011
597 5.45537 3.26468e-07
598 5.48091 0.101738
599 5.46818 0.067184
