Iteration Mean StdDeviation
389 35.966 4.65149
390 35.8462 4.76514
391 36.2304 4.44444
392 36.2733 4.04351
393 36.287 4.50968
394 36.3109 4.72691
395 36.4217 4.63627
396 36.5416 4.48219
397 36.9443 4.35597
398 36.9121 4.47388
399 36.7814 4.92554
400 36.8423 4.60615
401 36.5903 4.5627
402 36.251 4.51804
403 36.0296 4.79404
404 36.3756 4.93603
405 36.6043 4.9428
406 36.7397 5.0408
407 36.8414 5.2918
408 36.5393 5.34745
409 36.3565 5.53815
410 36.1401 5.50348
411 36.4696 4.84461
412 36.8989 4.66189
413 36.3095 4.78662
414 36.4063 4.95214
415 35.8259 4.81428
416 36.4205 5.28106
417 36.0253 4.85029
418 35.8798 4.60823
419 36.1466 4.58162
420 36.2601 4.57924
421 35.7529 5.11106
422 35.714 4.89165
423 35.9543 4.56803
424 35.9049 4.92301
425 35.9198 5.0711
426 36.1425 5.34873
427 36.2659 5.33798
428 36.3888 5.73217
429 36.4843 5.27336
430 36.1535 5.20973
431 36.1786 5.38689
432 35.9446 5.05212
433 36.3457 4.77076
434 36.2929 4.72792
435 36.1492 5.01932
436 36.4076 4.78166
437 35.9818 4.86759
438 35.8967 4.97457
439 35.4011 5.56424
440 35.5123 5.58796
441 36.0581 5.14911
442 35.9832 5.21404
443 35.6703 4.94575
444 36.3134 4.75642
445 35.8229 4.69217
446 35.6328 4.76147
447 35.6726 4.6043
448 35.3764 4.50917
449 35.749 4.62843
450 35.4459 4.91366
451 35.4833 4.96135
452 35.4566 4.64978
453 35.7231 4.83078
454 35.662 4.61588
455 35.4121 4.97919
456 35.6481 4.20543
457 35.9835 4.68296
458 36.2065 5.08845
459 36.1372 5.23745
460 36.1259 5.15928
461 35.6222 5.12823
462 35.2426 4.65423
463 35.5614 4.25035
464 35.6071 4.7652
465 35.6683 4.92372
466 36.0306 4.25697
467 36.0457 4.42341
468 35.6928 4.43148
469 36.0828 4.53029
470 36.1175 4.59202
471 36.8767 4.73602
472 36.7261 4.83121
473 36.336 4.27138
474 36.5187 4.47626
475 36.8436 4.81385
476 36.6238 4.5992
477 36.7907 4.29088
478 36.3771 4.44443
479 36.8044 4.18291
480 37.1148 4.59545
481 37.2788 4.76303
482 36.9441 5.00784
