Iteration Mean StdDeviation
388 15.9207 2.33045
389 15.7991 2.35951
390 15.8536 2.09178
391 16.0074 1.92489
392 15.9264 1.92017
393 15.8677 1.78968
394 15.8066 1.99819
395 15.6934 2.08371
396 15.7951 2.0612
397 15.6309 2.17558
398 15.743 2.22282
399 15.8133 2.06402
400 15.7474 2.17302
401 15.9471 2.00962
402 15.8832 2.16448
403 15.6571 2.35294
404 15.5639 2.37646
405 15.6648 2.24085
406 15.7932 2.02152
407 15.8179 1.86129
408 15.8645 1.96022
409 15.891 2.16014
410 15.8106 2.21101
411 15.6511 2.11759
412 15.4232 2.14309
413 15.5078 2.20916
414 15.6012 2.26834
415 15.7122 2.11258
416 15.8737 2.13687
417 16.0279 2.2542
418 16.2326 2.32962
419 16.2891 2.40602
420 16.3074 2.14158
421 16.2062 2.05628
422 16.1448 2.077
423 16.0648 2.17265
424 16.0734 2.11465
425 15.7945 2.14652
426 15.7791 2.14461
427 15.9142 1.84934
428 15.9101 1.77387
429 16.0353 1.91243
430 16.1062 1.84811
431 15.8515 2.1455
432 15.8142 1.82248
433 15.8145 2.07908
434 15.6852 2.25575
435 15.7463 2.17361
436 15.8866 2.01267
437 15.9218 2.04542
438 15.9154 2.03161
439 15.8481 2.30131
440 15.6572 2.52954
441 15.7457 2.40682
442 15.8123 2.10735
443 15.8494 2.13216
444 15.8385 2.16201
445 15.8798 1.98654
446 15.7964 2.08315
447 15.6649 2.03457
448 15.6868 1.94737
449 15.6994 1.85776
450 15.9044 1.88086
451 15.8969 1.91613
452 15.8437 2.24366
453 15.5903 2.19188
454 15.6348 2.17566
455 15.4847 2.07021
456 15.8194 2.04795
457 15.8765 1.92888
458 15.9357 1.92742
459 16.0509 2.0225
460 16.0256 1.97806
461 15.8842 2.18875
462 15.8778 2.39418
463 15.8485 2.0692
464 15.6784 2.18701
465 15.8457 2.18075
466 15.8153 2.16207
467 15.6781 2.34412
468 15.731 2.32045
469 15.7674 2.17598
470 15.7607 1.83118
471 15.6392 1.89169
472 15.6633 1.84884
473 15.7886 1.82253
474 15.6863 1.9573
475 15.5458 1.89225
476 15.6375 1.80948
477 15.7367 1.87681
478 15.88 2.02815
479 15.753 2.22875
480 15.8664 2.2867
481 15.7993 2.18868
482 15.7909 2.2636
483 15.7078 2.22531
484 15.9611 2.06826
485 15.8755 1.92544
486 16.0534 1.82868
487 16.0264 1.99613
488 16.0126 2.27255
489 16.0021 2.22021
490 16.033 2.15162
491 15.9462 1.94506
492 16.114 1.92471
493 15.8672 1.97203
494 15.863 1.95247
495 15.9065 1.81468
496 15.7351 2.03556
497 15.7547 1.947
498 15.8831 1.86129
499 15.5478 2.11218
500 15.4872 2.04547
501 15.4229 2.1288
502 15.6351 2.12202
503 15.4893 1.96505
504 15.6265 2.19458
505 15.5679 2.11032
506 15.6957 2.1415
507 15.8994 2.31508
508 15.933 2.25627
509 15.9147 2.23299
510 15.7552 2.38677
511 15.834 2.5759
512 15.7935 2.67955
513 15.8678 2.02711
514 15.8884 1.94768
515 16.0676 2.09778
516 16.0638 2.02429
517 15.9393 2.15987
518 15.9666 2.20619
519 15.8227 2.11319
520 15.8137 1.94208
521 15.7471 1.96774
522 15.8442 2.0066
523 15.8202 2.28247
524 15.798 2.216
525 15.7909 2.05916
526 15.8697 2.01778
527 15.933 2.0311
528 15.9608 2.14713
529 15.9881 1.99732
530 15.9064 1.90784
531 15.9357 2.03337
532 16.0363 1.90697
533 15.9236 2.32564
534 15.9662 2.26226
535 15.8665 2.07732
536 15.8921 1.92629
537 15.7206 2.14165
538 15.7887 1.89237
539 15.8375 1.90918
540 15.948 1.96424
541 15.7897 2.19519
542 15.5018 2.10227
543 15.4782 2.04986
544 15.5211 2.13154
545 15.5126 2.19882
546 15.3321 2.20729
547 15.3773 2.21513
548 15.3651 2.29657
549 15.4738 2.09051
550 15.5035 2.02324
551 15.5936 2.11592
552 15.6751 2.18533
553 15.8024 2.15481
554 15.705 2.22678
555 15.7402 1.94685
556 15.7086 2.09041
557 15.7688 2.0059
558 15.7631 1.88386
559 15.6364 1.92602
560 15.684 2.10073
561 15.7396 2.06987
562 15.7927 2.09676
563 15.6813 1.95361
564 15.8365 2.14641
565 15.8016 2.03814
566 15.8366 2.04817
567 15.8949 2.16549
568 15.8439 2.1284
569 15.8696 2.14703
570 15.7397 2.18371
571 15.7604 2.22112
572 15.7353 2.25006
573 15.6882 2.28732
574 15.9187 2.30966
575 15.785 2.25613
576 15.8768 2.20944
577 15.7697 2.08347
578 15.633 2.04444
579 15.5881 2.15533
580 15.5517 2.23858
581 15.4466 2.13235
582 15.6149 2.18407
583 15.9004 2.04082
584 16.0612 1.86238
585 16.1474 2.12494
586 16.0395 2.15478
587 15.8372 2.2364
588 15.8943 2.33194
589 15.8348 2.25598
590 15.7517 2.47636
591 15.637 2.285
592 15.8741 2.1153
593 15.7027 2.27409
594 15.6535 2.20166
595 15.8092 2.33936
596 15.758 2.18993
597 15.7379 2.29785
598 15.8385 2.26656
599 15.9674 2.23824
600 16.0937 2.25051
601 15.929 2.24769
602 15.9253 2.25593
603 15.8673 2.18302
604 15.8756 2.24371
605 15.8961 2.25763
606 15.593 2.13866
607 15.6115 2.29251
608 15.5505 2.24799
609 15.6688 2.12698
610 15.7783 2.04179
611 15.688 2.16231
612 15.7637 2.15542
613 15.6952 2.20332
614 15.7584 2.29988
615 15.6785 2.28732
616 15.622 2.21474
617 15.6673 2.22959
618 15.7876 2.19938
619 15.7277 2.1448
620 15.7049 2.14771
621 15.6871 2.16716
622 15.9307 2.14759
623 15.9469 2.21307
624 15.9322 2.10438
625 15.8615 2.01441
626 15.8644 2.15495
627 15.8845 2.03837
628 15.7941 2.15314
629 15.8589 1.87311
630 15.6698 1.80659
631 15.6673 2.03073
632 15.7001 2.09973
633 15.7226 2.37202
634 15.6842 2.44782
635 15.6565 2.32429
636 15.7604 2.28706
637 15.7437 2.08629
638 15.7948 1.92249
639 15.7278 1.99955
640 15.6598 2.09337
641 15.5755 2.32748
642 15.7478 2.21352
643 15.8037 2.38438
644 15.925 2.34022
645 16.0003 2.29225
646 15.9999 2.27632
647 16.2824 2.14906
648 16.1381 2.30069
649 16.1318 2.41779
650 15.9894 2.27364
651 15.9058 2.20866
652 15.8408 2.1225
653 16.1131 2.20717
654 15.9032 2.26039
655 15.8822 2.16809
656 15.847 2.09454
657 15.8145 1.90929
658 15.9071 1.9057
659 15.8798 1.93317
660 15.9215 2.14361
661 15.8642 2.25525
662 15.8618 2.2064
663 15.9375 2.23383
664 15.8932 2.09222
665 15.9617 2.08847
666 15.8426 2.21588
667 15.8043 2.16031
668 15.8516 2.1665
669 15.7431 2.14039
670 15.5922 2.20357
671 15.6855 1.96939
672 15.7625 2.08443
673 15.6716 2.22593
674 15.5597 2.16711
675 15.6029 2.27779
676 15.5635 2.50519
677 15.718 2.21376
678 15.5471 2.22262
679 15.5009 2.22641
680 15.5031 2.25923
681 15.5937 2.16638
682 15.8011 2.16564
683 15.7941 2.12662
684 15.705 2.2872
685 15.8659 2.08096
686 15.7851 2.16861
687 15.5808 2.27146
688 15.7064 2.16223
689 15.5824 2.16542
690 15.8474 2.26371
691 15.652 2.08879
692 15.7396 1.88706
693 15.7791 1.96926
694 15.6645 2.25627
695 15.6396 2.26236
696 15.5565 2.17677
697 15.6041 2.10653
698 15.8043 1.98473
699 15.7486 2.00481
700 15.7574 2.02393
701 15.52 2.1214
702 15.5449 2.17324
703 15.645 2.15292
704 15.7434 2.15887
705 15.7037 2.0203
706 15.8054 2.07685
707 15.774 2.10582
708 15.7492 2.18729
709 15.7495 2.38889
710 15.7625 2.25689
711 15.8635 2.3379
712 16.0115 2.0123
713 15.9174 1.97993
714 15.759 1.96444
715 15.9259 1.96955
716 16.0129 2.07594
717 15.8464 2.25778
718 15.9279 2.39602
719 15.7486 2.29059
720 15.7301 2.37359
721 15.7643 2.20161
722 15.6414 2.40467
723 15.731 2.2894
724 15.6893 2.07833
725 15.6791 1.8681
726 15.7672 2.0098
727 15.6965 2.07977
728 15.6166 2.21157
729 15.8369 2.19014
730 15.7951 2.16537
731 15.8012 2.29974
732 15.8391 2.22641
733 15.9181 2.17012
734 15.725 2.40828
735 15.7768 2.41247
736 15.8846 2.31082
737 16.2037 1.90485
738 16.2449 2.23876
739 16.0756 2.04368
740 16.0817 1.89143
741 16.1347 1.79567
742 15.9726 2.09112
743 15.8825 2.19909
744 15.8315 2.09776
745 15.8819 2.02341
746 15.8316 2.01847
747 16.0308 2.14922
748 15.818 2.15313
749 15.6167 2.29419
750 15.6826 2.32807
751 15.7301 2.39739
752 15.6942 2.48567
753 15.7154 2.42332
754 15.642 2.4
755 15.6276 2.27546
756 15.7832 2.15606
757 15.7596 2.24825
758 15.6231 2.17957
759 15.6553 2.17207
760 15.8999 2.2809
761 15.8694 2.10418
762 15.8533 2.12447
763 15.7837 2.02368
764 15.6685 2.20752
765 15.7066 2.1564
766 15.8295 2.07863
767 15.83 1.96448
768 15.6997 1.95878
769 15.7958 2.06891
770 15.7232 2.02567
771 15.6253 2.22047
772 15.7254 2.32675
773 15.7189 2.17717
774 15.8107 2.08131
775 15.7651 2.13186
776 15.8436 1.91714
777 15.7903 1.97215
778 15.8128 2.04422
779 15.8246 2.11243
780 15.6685 2.02952
781 15.74 2.03145
782 15.6509 2.2184
783 15.6676 2.24663
784 15.756 2.08151
785 15.7078 2.14289
786 15.7432 1.95701
787 15.6616 1.9344
788 15.7155 1.9801
789 15.8151 2.27965
790 15.6791 2.32429
791 15.6992 2.13086
792 15.814 2.14497
793 16.0852 2.21534
794 16.0869 2.24013
795 16.0928 2.27505
796 16.0362 2.01642
797 16.0388 2.00928
798 16.2099 2.1319
799 16.1257 2.27818
800 15.9529 2.3368
801 16.163 2.41492
802 16.1715 2.43096
803 15.9567 2.52768
804 16.0184 2.38995
805 15.9291 2.42536
806 16.0073 2.28086
807 16.1763 2.22114
808 16.0112 2.28286
809 15.8041 2.21603
810 15.7056 2.17388
811 15.7008 2.15211
812 15.789 2.13845
813 15.9366 1.83918
814 16.0551 1.99058
815 15.8695 2.16442
816 15.81 2.25453
817 15.7203 2.20022
818 15.7079 2.17561
819 15.8331 2.08004
820 15.9544 2.04293
821 15.9275 2.0532
822 15.9039 2.2595
823 16.1527 1.97493
824 16.0142 2.10453
825 16.0913 2.23884
826 15.9885 2.24392
827 16.0345 2.17091
828 15.9878 2.12009
829 15.9603 2.20232
830 16.0129 2.22148
831 15.9127 2.34158
832 15.8739 2.41208
833 16.09 2.33854
834 16.0678 2.25748
835 16.0049 2.25964
836 15.8777 2.19858
837 15.8913 2.24147
838 15.8756 2.14228
839 15.8764 2.27705
840 15.6982 2.31887
841 15.6125 2.30095
842 15.7829 2.32741
843 15.6161 2.46056
844 15.6305 2.38314
845 15.7662 2.20506
846 15.6317 2.25986
847 15.6522 2.25659
848 15.5303 2.35523
849 15.8596 2.13946
850 15.6787 2.25987
851 15.6754 2.45831
852 15.82 2.27881
853 15.7458 1.94456
854 15.9015 2.20339
855 15.9804 2.19722
856 16.0788 2.11731
857 16.0102 2.13075
858 15.6907 2.292
859 15.622 2.28161
860 15.7042 2.34513
861 15.5875 2.36749
862 15.7566 2.25433
863 15.8676 2.23069
864 15.6987 2.16473
865 15.5699 2.17446
866 15.3435 2.46879
867 15.4504 2.26409
868 15.5618 2.24496
869 15.5429 2.1549
870 15.5349 2.28582
871 15.3894 2.26014
872 15.3584 2.29033
873 15.4879 2.08479
874 15.4921 2.10953
875 15.7687 1.93982
876 15.9939 1.81647
877 15.7973 2.10239
878 15.9052 2.16403
879 15.7657 2.27987
880 15.6853 2.18188
881 15.5521 2.16714
882 15.6901 2.32266
883 15.7094 2.35137
884 15.6836 2.32344
885 15.7725 2.29197
886 15.8909 2.26323
887 15.773 2.29056
888 15.8418 2.24218
889 15.8209 2.11672
890 15.8514 2.30392
891 15.7971 2.18357
892 15.7261 2.10851
893 15.73 2.0485
894 15.6489 2.29027
895 15.6802 2.32108
896 15.6252 2.23571
897 15.6622 2.33805
898 15.7255 2.26994
899 15.8173 2.30341
