#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
                            48        1.6972999999999050e+00        1.6972999999999823e+00        3.0416867916573809e-09
                            49        1.6972999999999050e+00        1.6972999999999805e+00        0.0000000000000000e+00
                            50        1.6972999999999050e+00        1.6972999999999789e+00        0.0000000000000000e+00
                            51        1.6972999999999050e+00        1.6972999999999774e+00        2.9508696287175247e-09
                            52        1.6972999999999050e+00        1.6972999999999758e+00        4.1328385191055324e-09
                            53        1.6972999999999050e+00        1.6972999999999743e+00        5.7893148801163681e-09
                            54        1.6972999999999050e+00        1.6972999999999729e+00        5.7354596176706333e-09
                            55        1.6972999999999048e+00        1.6972999999999716e+00        5.6830798938607707e-09
                            56        1.6972999999999048e+00        1.6972999999999703e+00        5.6321095378581762e-09
                            57        1.6972999999999048e+00        1.6972999999999692e+00        5.5824864600997805e-09
                            58        1.6972999999999041e+00        1.6972999999999678e+00        6.7779246888658706e-09
                            59        1.6972999999999048e+00        1.6972999999999667e+00        6.1347109794066716e-09
                            60        1.6972999999999041e+00        1.6972999999999656e+00        6.6640018746250559e-09
                            61        1.6972999999999050e+00        1.6972999999999645e+00        6.6091531898490147e-09
                            62        1.6972999999999496e+00        1.6972999999999643e+00        7.0808971421642820e-09
                            63        1.6972999999999052e+00        1.6972999999999634e+00        6.5033999155757535e-09
                            64        1.6972999999999505e+00        1.6972999999999632e+00        6.9693799815586607e-09
                            65        1.6972999999999550e+00        1.6972999999999629e+00        6.9155615701117680e-09
                            66        1.6972999999999550e+00        1.6972999999999629e+00        6.3538764821174873e-09
                            67        1.6972999999999550e+00        1.6972999999999629e+00        5.1490570639452943e-09
                            68        1.6972999999999550e+00        1.6972999999999627e+00        5.7143344644261182e-09
                            69        1.6972999999999550e+00        1.6972999999999627e+00        5.0738843128606592e-09
                            70        1.6972999999999507e+00        1.6972999999999625e+00        5.6321095378581762e-09
                            71        1.6972999999999498e+00        1.6972999999999625e+00        5.0019106763403957e-09
                            72        1.6972999999999498e+00        1.6972999999999623e+00        4.9670537312825518e-09
                            73        1.6972999999999498e+00        1.6972999999999623e+00        4.2720301380827715e-09
                            74        1.6972999999999498e+00        1.6972999999999623e+00        3.4644496066516425e-09
                            75        1.6972999999999505e+00        1.6972999999999621e+00        4.2146848510894031e-09
                            76        1.6972999999999501e+00        1.6972999999999618e+00        5.4052192725987107e-09
                            77        1.6972999999999501e+00        1.6972999999999618e+00        4.8030791522585171e-09
                            78        1.6972999999999057e+00        1.6972999999999610e+00        5.3354715856867497e-09
                            79        1.6972999999999050e+00        1.6972999999999601e+00        5.3015952331186839e-09
                            80        1.6972999999999050e+00        1.6972999999999594e+00        5.2683560638617543e-09
                            81        1.6972999999999039e+00        1.6972999999999587e+00        5.2357343504302690e-09
                            82        1.6972999999999039e+00        1.6972999999999578e+00        5.7003800248802149e-09
                            83        1.6972999999999041e+00        1.6972999999999572e+00        5.6659363257093240e-09
                            84        1.6972999999999041e+00        1.6972999999999565e+00        6.0833735833147618e-09
                            85        1.6972999999999048e+00        1.6972999999999558e+00        6.0474831604467912e-09
                            86        1.6972999999999048e+00        1.6972999999999552e+00        6.4273341419362075e-09
                            87        1.6972999999999050e+00        1.6972999999999545e+00        6.3902886798250366e-09
                            88        1.6972999999999050e+00        1.6972999999999538e+00        6.3538764821174873e-09
                            89        1.6972999999999050e+00        1.6972999999999532e+00        7.0638278594609677e-09
                            90        1.6972999999999048e+00        1.6972999999999527e+00        6.2828812205163226e-09
                            91        1.6972999999999048e+00        1.6972999999999521e+00        6.6272853314378962e-09
                            92        1.6972999999999048e+00        1.6972999999999516e+00        6.5911690662010224e-09
                            93        1.6972999999999048e+00        1.6972999999999510e+00        6.9102480375791833e-09
                            94        1.6972999999999048e+00        1.6972999999999503e+00        7.2088755197360623e-09
                            95        1.6972999999999048e+00        1.6972999999999498e+00        6.8371216616201929e-09
                            96        1.6972999999999048e+00        1.6972999999999494e+00        6.8014184324091442e-09
                            97        1.6972999999999048e+00        1.6972999999999487e+00        7.4120760466725674e-09
                            98        1.6972999999999050e+00        1.6972999999999483e+00        7.0602229457995718e-09
                            99        1.6972999999999050e+00        1.6972999999999479e+00        7.0244747518156719e-09
                           100        1.6972999999999050e+00        1.6972999999999474e+00        6.9892641303292360e-09
