#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
                            47        1.5429999999999129e+00        1.5429999999999768e+00        5.3241074160523444e-09
                            48        1.5429999999999129e+00        1.5429999999999753e+00        6.8014184324091442e-09
                            49        1.5429999999999129e+00        1.5429999999999739e+00        6.7316584505532033e-09
                            50        1.5429999999999129e+00        1.5429999999999726e+00        6.6640018746250559e-09
                            51        1.5429999999999129e+00        1.5429999999999713e+00        7.8072671889600728e-09
                            52        1.5429999999999129e+00        1.5429999999999700e+00        8.2656770382110647e-09
                            53        1.5429999999999129e+00        1.5429999999999688e+00        8.1873276203089377e-09
                            54        1.5429999999999129e+00        1.5429999999999677e+00        8.1111647777530157e-09
                            55        1.5429999999999127e+00        1.5429999999999666e+00        8.5246198407911561e-09
                            56        1.5429999999999120e+00        1.5429999999999655e+00        8.9051470855950830e-09
                            57        1.5429999999999120e+00        1.5429999999999644e+00        8.8266861104829966e-09
                            58        1.5429999999999118e+00        1.5429999999999635e+00        9.1773534126794300e-09
                            59        1.5429999999999127e+00        1.5429999999999626e+00        8.6757914683160485e-09
                            60        1.5429999999999120e+00        1.5429999999999615e+00        9.0231011930033308e-09
                            61        1.5429999999999129e+00        1.5429999999999606e+00        9.3467540768858790e-09
                            62        1.5429999999999129e+00        1.5429999999999597e+00        9.6496362358738969e-09
                            63        1.5429999999999133e+00        1.5429999999999591e+00        8.8056451124739471e-09
                            64        1.5429999999999648e+00        1.5429999999999591e+00        9.1250603749721418e-09
                            65        1.5429999999999684e+00        1.5429999999999591e+00        9.4243218307744843e-09
                            66        1.5429999999999684e+00        1.5429999999999593e+00        8.9857382946540007e-09
                            67        1.5429999999999684e+00        1.5429999999999593e+00        9.2825946321724100e-09
                            68        1.5429999999999684e+00        1.5429999999999593e+00        9.5619104492626763e-09
                            69        1.5429999999999406e+00        1.5429999999999591e+00        8.7882254216013632e-09
                            70        1.5429999999999175e+00        1.5429999999999584e+00        9.0815037521726491e-09
                            71        1.5429999999999162e+00        1.5429999999999580e+00        8.6635634263427715e-09
                            72        1.5429999999999162e+00        1.5429999999999575e+00        7.8536015256454039e-09
                            73        1.5429999999999162e+00        1.5429999999999569e+00        8.1803149187049961e-09
                            74        1.5429999999999162e+00        1.5429999999999564e+00        7.3492074298273306e-09
                            75        1.5429999999999167e+00        1.5429999999999560e+00        7.3000482999777138e-09
                            76        1.5429999999999167e+00        1.5429999999999555e+00        6.8371216616201929e-09
                            77        1.5429999999999167e+00        1.5429999999999551e+00        6.7925796782754628e-09
                            78        1.5429999999999162e+00        1.5429999999999546e+00        6.3130151162767661e-09
                            79        1.5429999999999127e+00        1.5429999999999540e+00        6.7060464675785539e-09
                            80        1.5429999999999120e+00        1.5429999999999535e+00        6.6640018746250559e-09
                            81        1.5429999999999118e+00        1.5429999999999529e+00        7.0244747518156719e-09
                            82        1.5429999999999118e+00        1.5429999999999522e+00        6.9815112004551021e-09
                            83        1.5429999999999120e+00        1.5429999999999520e+00        6.5424597257191149e-09
                            84        1.5429999999999120e+00        1.5429999999999515e+00        6.0833735833147618e-09
                            85        1.5429999999999120e+00        1.5429999999999513e+00        5.1110561234506621e-09
                            86        1.5429999999999120e+00        1.5429999999999509e+00        5.0812537928705923e-09
                            87        1.5429999999999129e+00        1.5429999999999504e+00        5.5341523342446047e-09
                            88        1.5429999999999129e+00        1.5429999999999502e+00        4.4928691473270003e-09
                            89        1.5429999999999127e+00        1.5429999999999497e+00        4.4675570070496882e-09
                            90        1.5429999999999120e+00        1.5429999999999495e+00        3.8474632761949464e-09
                            91        1.5429999999999120e+00        1.5429999999999493e+00        2.2090951104792987e-09
                            92        1.5429999999999120e+00        1.5429999999999489e+00        2.1970563554003408e-09
                            93        1.5429999999999120e+00        1.5429999999999486e+00        0.0000000000000000e+00
                            94        1.5429999999999120e+00        1.5429999999999484e+00        3.0738748498523037e-09
                            95        1.5429999999999120e+00        1.5429999999999480e+00        0.0000000000000000e+00
                            96        1.5429999999999120e+00        1.5429999999999477e+00        3.0416867916573809e-09
                            97        1.5429999999999127e+00        1.5429999999999475e+00        3.7060380233362837e-09
                            98        1.5429999999999129e+00        1.5429999999999473e+00        4.2574746268136158e-09
                            99        1.5429999999999129e+00        1.5429999999999469e+00        4.2359176547449918e-09
                           100        1.5429999999999129e+00        1.5429999999999466e+00        4.2146848510894031e-09
